WILAYAH,Jokowi_Amin,Prabowo_Sandi,Jumlah_Pemilih,Penduduk_Bekerja,Penduduk_Pengangguran,
ACEH,399.066,2.359.989," 3,663,250 "," 2,203,717 "," 149,723 ",
SUMATERA UTARA,3.917.069,3.577.472," 9,919,664 "," 6,728,431 "," 396,027 ",
SUMATERA BARAT,407.638,2.485.265," 3,794,398 "," 2,410,450 "," 141,680 ",
RIAU,1.246.888,1.973.298," 4,765,436 "," 2,915,597 "," 192,801 ",
JAMBI,858.738,1.200.255," 2,615,290 "," 1,721,362 "," 69,075 ",
SUMATERA SELATAN,1.915.685,2.830.633," 6,025,906 "," 3,963,870 "," 175,087 ",
BENGKULU,582.845,585.598," 1,425,230 "," 963,463 "," 35,061 ",
LAMPUNG,2.845.798,1.951.645," 6,074,689 "," 4,060,377 "," 171,689 ",
KEP. BANGKA BELITUNG,495.5,288.097," 1,073,861 "," 701,366 "," 26,552 ",
KEP. RIAU,548.388,462.666," 1,499,059 "," 901,019 "," 69,113 ",
DKI JAKARTA,3.269.971,3.057.851," 7,884,019 "," 4,726,779 "," 314,841 ",
JAWA BARAT,10.729.229,16.044.787," 35,963,185 "," 20,779,888 "," 1,848,234 ",
JAWA TENGAH,16.784.716,4.939.445," 26,341,544 "," 17,245,548 "," 814,347 ",
DI YOGYAKARTA,1.640.789,735.789," 2,987,330 "," 2,118,392 "," 73,350 ",
JAWA TIMUR,16.155.586,8.398.895," 30,704,485 "," 20,449,949 "," 850,474 ",
BANTEN,2.530.608,4.045.338," 9,180,734 "," 5,332,496 "," 496,732 ",
BALI,2.342.628,212.586," 3,288,908 "," 2,490,870 "," 34,485 ",
NUSA TENGGARA BARAT,950.48,2.009.305," 3,394,438 "," 2,154,124 "," 83,257 ",
NUSA TENGGARA TIMUR,2.362.041,305.615," 3,543,119 "," 2,411,533 "," 74,748 ",
KALIMANTAN BARAT,1.707.147,1.260.600," 3,570,782 "," 2,346,881 "," 104,518 ",
KALIMANTAN TENGAH,828.596,536.213," 1,935,320 "," 1,301,002 "," 54,397 ",
KALIMANTAN SELATAN,823.219,1.467.906," 3,012,397 "," 2,021,666 "," 95,278 ",
KALIMANTAN TIMUR,1.093.148,870.043," 2,665,909 "," 1,618,285 "," 114,313 ",
KALIMANTAN UTARA,247.352,105.498," 503,147 "," 323,400 "," 17,797 ",
SULAWESI UTARA,1.218.303,359.131," 1,866,055 "," 1,095,145 "," 80,664 ",
SULAWESI TENGAH,913.753,705.31," 2,161,870 "," 1,451,491 "," 51,481 ",
SULAWESI SELATAN,2.117.839,2.807.109," 6,328,579 "," 3,774,924 "," 213,105 ",
SULAWESI TENGGARA,554.247,840.029," 1,788,875 "," 1,207,488 "," 40,724 ",
GORONTALO,369.338,344.798," 859,601 "," 555,533 "," 23,347 ",
SULAWESI BARAT,474.852,263.345," 934,281 "," 619,395 "," 20,227 ",
MALUKU,565.516,389.12," 1,200,394 "," 700,143 "," 54,891 ",
MALUKU UTARA,310.585,344.366," 830,307 "," 515,615 "," 25,831 ",
PAPUA BARAT,2.250.806,204.006," 656,517 "," 417,544 "," 28,086 ",
PAPUA,430.742,105.548," 2,320,862 "," 1,777,207 "," 58,756 ",