WILAYAH,Jumlah_Pemilih,
ACEH," 3,663,250 ",
SUMATERA UTARA," 9,919,664 ",
SUMATERA BARAT," 3,794,398 ",
RIAU," 4,765,436 ",
JAMBI," 2,615,290 ",
SUMATERA SELATAN," 6,025,906 ",
BENGKULU," 1,425,230 ",
LAMPUNG," 6,074,689 ",
KEP. BANGKA BELITUNG," 1,073,861 ",
KEP. RIAU," 1,499,059 ",
DKI JAKARTA," 7,884,019 ",
JAWA BARAT," 35,963,185 ",
JAWA TENGAH," 26,341,544 ",
DI YOGYAKARTA," 2,987,330 ",
JAWA TIMUR," 30,704,485 ",
BANTEN," 9,180,734 ",
BALI," 3,288,908 ",
NUSA TENGGARA BARAT," 3,394,438 ",
NUSA TENGGARA TIMUR," 3,543,119 ",
KALIMANTAN BARAT," 3,570,782 ",
KALIMANTAN TENGAH," 1,935,320 ",
KALIMANTAN SELATAN," 3,012,397 ",
KALIMANTAN TIMUR," 2,665,909 ",
KALIMANTAN UTARA," 503,147 ",
SULAWESI UTARA," 1,866,055 ",
SULAWESI TENGAH," 2,161,870 ",
SULAWESI SELATAN," 6,328,579 ",
SULAWESI TENGGARA," 1,788,875 ",
GORONTALO," 859,601 ",
SULAWESI BARAT," 934,281 ",
MALUKU," 1,200,394 ",
MALUKU UTARA," 830,307 ",
PAPUA BARAT," 656,517 ",
PAPUA," 2,320,862 ",