Provinsi,Jumlah
ACEH,819.44
SUMATERA UTARA,1282.04
SUMATERA BARAT,348.22
RIAU,490.72
JAMBI,274.32
SUMATERA SELATAN,1073.74
BENGKULU,302.3
LAMPUNG,1063.66
KEP. BANGKA BELITUNG,68.38
KEP. RIAU,128.46
DKI JAKARTA,365.55
JAWA BARAT,3399.16
JAWA TENGAH,3743.23
DI YOGYAKARTA,448.47
JAWA TIMUR,4112.25
BANTEN,654.46
BALI,163.85
NUSA TENGGARA BARAT,735.96
NUSA TENGGARA TIMUR,1146.32
KALIMANTAN BARAT,378.41
KALIMANTAN TENGAH,134.59
KALIMANTAN SELATAN,192.48
KALIMANTAN TIMUR,219.92
KALIMANTAN UTARA,48.78
SULAWESI UTARA,191.7
SULAWESI TENGAH,410.36
SULAWESI SELATAN,767.8
SULAWESI TENGGARA,302.58
GORONTALO,186.03
SULAWESI BARAT,151.4
MALUKU,317.69
MALUKU UTARA,84.6
PAPUA BARAT,211.5
PAPUA,926.36
INDONESIA,25144.72